"id","이름_한글","이름_영문","도수구간","최소도수","최대도수","스타일","베이스","맛단계","잔","계절","재료_원문","재료_목록","맛","분위기","제조단계수","제조순서","제조단계_출처","추천수","어려워요수","북마크수","유래","이미지_URL","잔이미지_URL","등록일","수정일","v2_bases","v2_abv","v2_abvBand","taste_sweet","taste_sour","taste_bitter","taste_boozy","taste_body","taste_fizz","flavor_citrus","flavor_tropical","flavor_berry_red","flavor_stone_orchard","flavor_herbal","flavor_mint","flavor_floral","flavor_spice","flavor_coffee_choco","flavor_creamy_nutty","flavor_oak_caramel","flavor_smoky","flavor_anise","flavor_savory","occasion_aperitif","occasion_with_meal","occasion_dessert","occasion_party","occasion_refresh","occasion_slow_sip","occasion_brunch","approachability","familiarity","complexity","polarizing","serve","allergens","recipeStatus","source","유래_출처","recipeSourceUrl","diffords_대조"
"198","시카고 파이어","Chicago Fire","보통","17","19","스탠다드","위스키","","쿠페","가을","버번 45ml (1½ oz), 체리 주스 30ml (1 oz), 레몬 주스 20ml (⅔ oz), 칠리 시럽 15ml (½ oz)","","달콤, 상큼, 강한, 묵직한, 스파이시","천천히 음미","2","1. 셰이커에 얼음과 버번 45ml (1½ oz), 체리 주스 30ml (1 oz), 레몬 주스 20ml (⅔ oz), 칠리 시럽 15ml (½ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페에 걸러 따른다.","AUTO","0","0","0","매콤한 자극을 더한 onz 오리지널 칵테일.
버번, 체리 주스, 레몬 주스를 써서 진한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Chicago_Fire.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","whiskey","18","2","4","3","1","3","3","0","2","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","2","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"199","칠리 챔피언","Chili Champion","보통","15","17","스탠다드","테킬라","","쿠페","가을","테킬라 45ml (1½ oz), 망고 퓌레 30ml (1 oz), 라임 주스 20ml (⅔ oz), 할라피뇨 2~3조각","","달콤, 상큼, 묵직한, 스파이시, 시트러스","파티, 식사와 함께","4","1. 셰이커(또는 믹싱 글라스)에 할라피뇨 2~3조각을 넣고 가볍게 으깬다. / 2. 셰이커에 얼음과 테킬라 45ml (1½ oz), 망고 퓌레 30ml (1 oz), 라임 주스 20ml (⅔ oz)를 넣고 15초간 강하게 셰이킹한다. / 3. 차갑게 식힌 쿠페에 더블 스트레이닝하여 따른다. / 4. 라임 휠로 가니시한다.","AUTO","0","0","0","매콤한 자극을 더한 onz 오리지널 칵테일.
테킬라, 망고 퓌레, 라임 주스를 써서 은은한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Chili_Champion.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","tequila","16","2","3","3","1","2","3","0","3","2","0","0","0","0","0","5","0","0","0","0","0","0","0","2","0","2","0","0","0","2","1","2","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"200","칠리 초콜릿 마티니","Chili Chocolate Martini","강함","21","23","스탠다드","보드카","","마티니","가을","보드카 45ml (1½ oz), 초콜릿 리큐르 15ml (½ oz), 크렘 드 카카오 15ml (½ oz), 칠리 2~3조각","","달콤, 강한, 묵직한, 커피·초콜릿, 스파이시","디저트","3","1. 셰이커(또는 믹싱 글라스)에 칠리 2~3조각을 넣고 가볍게 으깬다. / 2. 셰이커에 얼음과 보드카 45ml (1½ oz), 초콜릿 리큐르 15ml (½ oz), 크렘 드 카카오 15ml (½ oz)를 넣고 15초간 강하게 셰이킹한다. / 3. 차갑게 식힌 마티니에 더블 스트레이닝하여 따른다.","AUTO","0","0","0","마티니 잔에 담는 현대식 '~티니' 칵테일. 개별 창시자 기록은 없음.
1980년대부터 마티니 잔에 담은 칵테일에 마티니라는 이름을 붙이는 유행이 생겼고, 전통 마티니와는 다른 스타일임.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Chili_Chocolate_Martini.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_martini.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","vodka|liqueur","22","2","4","1","1","3","4","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","3","0","0","0","0","2","1","3","0","up","","verified","image_old","https://en.wikipedia.org/wiki/Martini_(cocktail)","","디포즈 미수록 (onz 오리지널)"
"201","초콜릿 베일리스","Chocolate Baileys","보통","11","13","스탠다드","리큐르","","록스","사계절","베일리스 45ml (1½ oz), 초콜릿 리큐르 20ml (⅔ oz), 우유 90ml (3 oz)","","달콤, 묵직한, 크리미, 커피·초콜릿","디저트","2","1. 셰이커에 얼음과 베일리스 45ml (1½ oz), 초콜릿 리큐르 20ml (⅔ oz), 우유 90ml (3 oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 큰 얼음을 넣은 록스에 걸러 따른다.","AUTO","0","0","0","베일리스에 초콜릿 리큐르와 우유를 섞은 디저트 칵테일. 개별 창시자 기록은 없음.
베일리스는 1971년 톰 재고가 개발해 1974년 최초의 아이리시 크림 리큐르로 출시됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Chocolate_Baileys.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","liqueur","12","1","5","0","0","0","5","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","3","0","0","0","0","5","3","1","0","rocks","dairy","verified","image_old","https://en.wikipedia.org/wiki/Baileys_Irish_Cream","","디포즈 미수록 (onz 오리지널)"
"202","초콜릿 블랙 러시안","Chocolate Black Russian","강함","24","26","스트롱","보드카","","록스","사계절","보드카 45ml (1½ oz), 커피 리큐르 15ml (½ oz), 초콜릿 리큐르 15ml (½ oz)","","달콤, 강한, 묵직한, 커피·초콜릿","디저트, 천천히 음미","3","1. 믹싱 글라스에 얼음과 보드카 45ml (1½ oz), 커피 리큐르 15ml (½ oz), 초콜릿 리큐르 15ml (½ oz)를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 큰 얼음을 넣은 록스에 걸러 따른다.","AUTO","0","0","0","블랙 러시안에 초콜릿 리큐르를 더한 디저트 변형. 개별 창시자 기록은 없음.
블랙 러시안은 1949년 브뤼셀 메트로폴 호텔의 바텐더 귀스타브 톱스가 만든 칵테일.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Chocolate_Black_Russian.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","vodka|liqueur","25","3","5","0","2","4","4","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","3","0","0","2","0","3","2","2","0","rocks","caffeine","verified","image_old","https://en.wikipedia.org/wiki/Black_Russian","","디포즈 미수록 (onz 오리지널)"
"203","초콜릿 마가리타","Chocolate Margarita","강함","19","21","스탠다드","테킬라","","쿠페","사계절","레포사도 테킬라 60ml (2 oz), 다크 크렘 드 카카오 10ml (⅓ oz), 커피 리큐르 5ml (⅙ oz), 라임 주스 20ml (⅔ oz), 리치 설탕 시럽 7.5ml","","달콤, 묵직한, 커피·초콜릿, 시트러스","디저트","3","1. 셰이커에 얼음과 레포사도 테킬라 60ml (2 oz), 다크 크렘 드 카카오 10ml (⅓ oz), 커피 리큐르 5ml (⅙ oz), 라임 주스 20ml (⅔ oz), 리치 설탕 시럽 7.5ml를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페 잔에 걸러 따른다. / 3. 코코아 파우더 림로 가니시한다.","MANUAL","0","0","0","마가리타 변형. 개별 창시자 기록은 없음.
마가리타는 1930~40년대 멕시코에서 생겼다는 여러 설이 있고 첫 레시피는 1953년 『에스콰이어』에 실림. 과일 프로즌 마가리타는 1971년 댈러스에서 마가리타 기계가 나온 뒤 퍼짐.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Chocolate_Margarita.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","tequila|liqueur","20","2","4","2","0","3","4","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","1","0","0","0","3","1","2","0","up","","verified","image_old","https://en.wikipedia.org/wiki/Margarita","https://www.diffordsguide.com/cocktails/recipe/580/chocolarita","디포즈 가이드 반영"
"204","초콜릿 마티니","Chocolate Martini","강함","23","25","스탠다드","보드카","","마티니","사계절","진 22.5ml (¾ oz), 예네버 22.5ml (¾ oz), 화이트 크렘 드 카카오 22.5ml (¾ oz), 드라이 베르무트 22.5ml (¾ oz), 초콜릿 비터스 4 drops","","달콤, 강한, 묵직한, 커피·초콜릿, 크리미","디저트","4","1. 믹싱 글라스에 얼음과 진 22.5ml (¾ oz), 예네버 22.5ml (¾ oz), 화이트 크렘 드 카카오 22.5ml (¾ oz), 드라이 베르무트 22.5ml (¾ oz), 초콜릿 비터스 4 drops를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 차갑게 식힌 마티니 잔에 걸러 따른다. / 4. 다크 초콜릿로 가니시한다.","MANUAL","0","0","0","1980년대부터 마티니 잔에 담은 칵테일을 '~티니'로 부르는 유행 속에서 생긴 디저트 칵테일.
이름만 마티니일 뿐 전통 마티니와는 거리가 멂.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Chocolate_Martini.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_martini.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","vodka|liqueur","24","2","5","0","1","4","5","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0","0","3","0","0","0","0","4","3","2","0","up","dairy","verified","image_old","https://en.wikipedia.org/wiki/Martini_(cocktail)","https://www.diffordsguide.com/cocktails/recipe/16350/chocolate-martini","디포즈 가이드 반영"
"205","시나몬 위스키 사워","Cinnamon Whiskey Sour","보통","16","18","스탠다드","위스키","","록스","가을","버번 45ml (1½ oz), 시나몬 시럽 15ml (½ oz), 레몬 주스 20ml (⅔ oz), 계란 흰자 1개분","","달콤, 상큼, 묵직한, 스파이시, 시트러스","천천히 음미","4","1. 셰이커에 버번 45ml (1½ oz), 시나몬 시럽 15ml (½ oz), 레몬 주스 20ml (⅔ oz), 계란 흰자 1개분을 넣고 얼음 없이 10초간 드라이 셰이킹한다. / 2. 얼음을 넣고 15초간 다시 강하게 셰이킹한다. / 3. 큰 얼음을 넣은 록스에 걸러 따른다. / 4. 레몬 필로 가니시한다.","AUTO","0","0","0","술에 시트러스와 단맛을 더하는 사워 계열 칵테일. 개별 창시자 기록은 없음.
사워 계열의 대표인 위스키 사워는 1870년 미국 위스콘신의 신문 『워키쇼 플레인 딜러』에 처음 기록됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Cinnamon_Whiskey_Sour.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","whiskey","17","2","3","4","0","2","3","0","4","0","0","0","0","0","0","4","0","0","2","0","0","0","0","1","0","0","0","2","0","4","2","3","0","rocks","egg","verified","image_old","https://en.wikipedia.org/wiki/Whiskey_sour","","디포즈 미수록 (onz 오리지널)"
"206","시트러스 바질 스매시","Citrus Basil Smash","보통","14","16","스탠다드","진","","록스","여름","진 45ml (1½ oz), 바질 6~8장, 레몬 주스 20ml (⅔ oz), 오렌지 필, 설탕 시럽 15ml (½ oz)","","달콤, 상큼, 허브, 시트러스","상쾌한, 식전","4","1. 셰이커(또는 믹싱 글라스)에 바질 6~8장을 넣고 가볍게 으깬다. / 2. 셰이커에 얼음과 진 45ml (1½ oz), 레몬 주스 20ml (⅔ oz), 설탕 시럽 15ml (½ oz)를 넣고 15초간 강하게 셰이킹한다. / 3. 큰 얼음을 넣은 록스에 더블 스트레이닝하여 따른다. / 4. 오렌지 필로 가니시한다.","AUTO","0","0","0","민트나 과일을 으깨 넣는 스매시 계열 칵테일. 개별 창시자 기록은 없음.
스매시는 1840년대 미국에서 생겨 제리 토머스의 1862년 『바텐더 가이드』에 '작은 줄렙'으로 소개됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Citrus_Basil_Smash.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","gin","15","2","3","4","0","2","2","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","4","2","3","0","rocks","","verified","image_old","https://www.diffordsguide.com/cocktails/recipe/3347/whiskey-smash","https://www.diffordsguide.com/cocktails/recipe/3347/whiskey-smash","디포즈 가이드 반영"
"207","클레레","Clairet","보통","13","15","스탠다드","와인","","쿠페","봄","클레레(라이트 레드 와인) 90ml (3 oz), 브랜디 45ml (1½ oz), 오렌지 필","","달콤, 묵직한, 베리","식사와 함께, 식전","4","1. 믹싱 글라스에 얼음과 클레레(라이트 레드 와인) 90ml (3 oz), 브랜디 45ml (1½ oz)를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 차갑게 식힌 쿠페에 걸러 따른다. / 4. 오렌지 필로 가니시한다.","AUTO","0","0","0","베리 향을 살려 구성한 onz 오리지널 칵테일.
클레레(라이트 레드 와인), 브랜디, 오렌지 필를 써서 은은한 단맛이 살아 있는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Clairet.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","wine|brandy","14","1","3","2","0","2","3","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","3","1","2","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"208","클로버 리프","Clover Leaf","보통","13","15","스탠다드","진","","쿠페","봄","민트 잎 5장, 진 45ml (1½ oz), 드라이 베르무트 15ml (½ oz), 그레나딘 15ml (½ oz), 라임 주스 10ml, 레몬 주스 10ml, 계란 흰자 15ml","","달콤, 상큼, 묵직한, 베리, 민트, 시트러스","식전, 파티","4","1. 쿠페 잔(또는 셰이커)에 민트 잎 5장를 넣고 가볍게 으깬다. / 2. 셰이커에 얼음과 진 45ml (1½ oz), 드라이 베르무트 15ml (½ oz), 그레나딘 15ml (½ oz), 라임 주스 10ml, 레몬 주스 10ml, 계란 흰자 15ml를 넣고 15초간 강하게 셰이킹한다. / 3. 차갑게 식힌 쿠페 잔에 더블 스트레이닝하여 따른다. / 4. 민트 잎로 가니시한다.","MANUAL","0","0","0","클로버 클럽에 민트 장식을 더한 변형으로, J. A. 그로후스코의 『잭스 매뉴얼』에 실림.
클로버 클럽은 1882년 필라델피아 벨뷰-스트랫퍼드 호텔에 있던 같은 이름의 남성 클럽에서 유래했고, 1908년부터 레시피가 출판됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Clover_Leaf.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","gin","14","1","3","4","0","2","3","0","3","0","4","0","0","3","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","4","2","3","0","up","egg","verified","image_old","https://en.wikipedia.org/wiki/Clover_Club_Cocktail","https://www.diffordsguide.com/cocktails/recipe/446/clover-leaf","디포즈 가이드 반영"
"209","코코넛 크림 파이","Coconut Cream Pie","보통","14","16","스탠다드","럼","","쿠페","사계절","코코넛 럼 45ml (1½ oz), 바닐라 리큐르 15ml (½ oz), 크림 30ml (1 oz), 그레이엄 크래커 림","","달콤, 묵직한, 크리미, 열대과일","디저트","3","1. 셰이커에 얼음과 코코넛 럼 45ml (1½ oz), 바닐라 리큐르 15ml (½ oz), 크림 30ml (1 oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페에 걸러 따른다. / 3. 그레이엄 크래커 림으로 가니시한다.","AUTO","0","0","0","코코넛 크림과 바닐라 리큐르를 럼에 섞어 디저트 파이의 맛을 옮긴 크리미 칵테일이다. 미국 남부의 코코넛 크림 파이에서 착안한 현대식 디저트 드링크다. 식후에 한 잔으로 마무리하기 좋은 단맛이다.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Coconut_Cream_Pie.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","rum|liqueur","15","2","5","0","0","1","5","0","0","4","0","0","0","0","0","0","0","5","0","0","0","0","0","0","3","0","0","0","0","4","2","2","0","up","dairy","verified","image_old","","","디포즈 미수록 (onz 오리지널)"
"210","코코넛 라임 소다","Coconut Lime Soda","약함","0","0","라이트","무알코올","","하이볼","여름","코코넛 워터 120ml (4 oz), 라임 주스 20ml (⅔ oz), 탄산수 적당량(약 90ml), 설탕 시럽 15ml (½ oz)","","달콤, 상큼, 탄산, 열대과일, 시트러스","상쾌한, 브런치","4","1. 하이볼에 얼음을 채운다. / 2. 코코넛 워터 120ml (4 oz), 라임 주스 20ml (⅔ oz), 설탕 시럽 15ml (½ oz)를 붓는다. / 3. 탄산수 적당량(약 90ml)로 채우고 바 스푼으로 가볍게 한 번 젓는다. / 4. 라임 휠로 가니시한다.","AUTO","0","0","0","술 없이 칵테일처럼 만든 목테일. 개별 창시자 기록은 없음.
무알코올 혼합 음료는 제리 토머스의 1862년 『바텐더 가이드』에 '금주 음료'로 실렸고, '목테일'이라는 말은 1916년에 처음 기록됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Coconut_Lime_Soda.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","none","0","0","3","3","0","0","1","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","5","1","1","0","long","","verified","image_old","https://en.wikipedia.org/wiki/Mocktail","","디포즈 미수록 (onz 오리지널)"
"211","코코넛 럼 펀치","Coconut Rum Punch","보통","11","13","스탠다드","럼","","콜린스","여름","오버프루프 화이트 럼 45ml (1½ oz), 코코넛 시럽 22.5ml (¾ oz), 코코넛 워터 90ml (3 oz), 라임 주스 12.5ml","","달콤, 묵직한, 열대과일","상쾌한, 파티","3","1. 셰이커에 얼음과 오버프루프 화이트 럼 45ml (1½ oz), 코코넛 시럽 22.5ml (¾ oz), 코코넛 워터 90ml (3 oz), 라임 주스 12.5ml를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 콜린스 잔에 걸러 따른다. / 3. 코코넛 플레이크로 가니시한다.","MANUAL","0","0","0","코코넛 럼으로 만드는 펀치. 개별 창시자 기록은 없음.
펀치는 인도에서 생겨 17세기 말 동인도회사 직원들이 영국에 들여온 음료로, 이름은 '다섯'을 뜻하는 힌디어 '판치'(술·설탕·시트러스·물·향신료)에서 왔다고 알려짐.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Coconut_Rum_Punch.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_collins.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","rum","12","1","4","2","0","2","3","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","5","3","1","0","long","","verified","image_old","https://en.wikipedia.org/wiki/Punch_(drink)","https://www.diffordsguide.com/cocktails/recipe/4709/coconut-rum-punch","디포즈 가이드 반영"
"212","코냑 뮬","Cognac Mule","약함","8","10","스탠다드","브랜디","","콜린스","여름","코냑 50ml (1⅔ oz), 라임 주스 25ml (⅚ oz), 리치 설탕 시럽 12.5ml, 앙고스투라 비터스 2 dashes, 진저 비어 75ml (2½ oz)","","달콤, 탄산, 스파이시, 오크·캐러멜","상쾌한, 식사와 함께","4","1. 셰이커에 얼음과 코냑 50ml (1⅔ oz), 라임 주스 25ml (⅚ oz), 리치 설탕 시럽 12.5ml, 앙고스투라 비터스 2 dashes, 진저 비어 75ml (2½ oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 콜린스 잔에 걸러 따른다. / 3. 남은 탄산 재료로 채운다. / 4. 라임 웨지로 가니시한다.","MANUAL","0","0","0","모스코 뮬의 보드카를 다른 술로 바꾼 뮬 계열 칵테일. 개별 창시자 기록은 없음.
모스코 뮬은 1941년 뉴욕 채텀 호텔에서 진저 비어·보드카 업체 대표들이 판촉을 위해 만듦.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Cognac_Mule.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_collins.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","brandy","9","1","3","2","0","1","2","4","2","0","0","0","0","0","0","4","0","0","3","0","0","0","0","2","0","0","2","0","0","4","2","3","0","long","","verified","image_old","https://en.wikipedia.org/wiki/Moscow_mule","https://www.diffordsguide.com/cocktails/recipe/800/french-mule","디포즈 가이드 반영"
"213","코냑 오렌지 블로섬","Cognac Orange Blossom","보통","17","19","스탠다드","브랜디","","쿠페","사계절","코냑 45ml (1½ oz), 오렌지 주스 30ml (1 oz), 오렌지 블로섬 워터 2 dashes, 꿀 15ml (½ oz)","","달콤, 상큼, 묵직한, 시트러스","브런치, 식전","3","1. 셰이커에 얼음과 코냑 45ml (1½ oz), 오렌지 주스 30ml (1 oz), 꿀 15ml (½ oz), 오렌지 블로섬 워터 2 dashes를 넣고 15초간 강하게 셰이킹한다. / 2. 차갑게 식힌 쿠페에 걸러 따른다. / 3. 오렌지 필로 가니시한다.","AUTO","0","0","0","시트러스를 앞세워 구성한 onz 오리지널 칵테일.
코냑, 오렌지 주스, 오렌지 블로섬 워터를 써서 은은한 단맛과 산뜻한 산미가 어우러지는 맛. 사진 속 색과 가니시를 기준으로 재료를 정함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Cognac_Orange_Blossom.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","brandy","18","2","3","3","0","2","3","0","4","0","0","0","0","0","2","0","0","0","2","0","0","0","2","0","0","0","0","0","2","3","1","3","0","up","","needs_review","image_old","","","디포즈 미수록 (onz 오리지널)"
"214","코냑 사워","Cognac Sour","보통","13","15","스탠다드","브랜디","","록스","가을","코냑 50ml (1⅔ oz), 레몬 주스 22.5ml (¾ oz), 리치 설탕 시럽 15ml (½ oz), 계란 흰자 15ml, 앙고스투라 비터스 3 dashes","","달콤, 상큼, 묵직한, 시트러스, 오크·캐러멜","천천히 음미","4","1. 셰이커에 코냑 50ml (1⅔ oz), 레몬 주스 22.5ml (¾ oz), 리치 설탕 시럽 15ml (½ oz), 계란 흰자 15ml, 앙고스투라 비터스 3 dashes를 넣고 얼음 없이 10초간 드라이 셰이킹한다. / 2. 얼음을 넣고 15초간 다시 강하게 셰이킹한다. / 3. 큰 얼음을 넣은 록스 잔에 걸러 따른다. / 4. 레몬 휠, 체리로 가니시한다.","MANUAL","0","0","0","술에 시트러스와 단맛을 더하는 사워 계열 칵테일. 개별 창시자 기록은 없음.
사워 계열의 대표인 위스키 사워는 1870년 미국 위스콘신의 신문 『워키쇼 플레인 딜러』에 처음 기록됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Cognac_Sour.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","brandy","14","1","3","4","0","2","3","0","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","2","0","4","2","3","0","rocks","egg","verified","image_old","https://en.wikipedia.org/wiki/Whiskey_sour","https://www.diffordsguide.com/cocktails/recipe/316/brandy-sour","디포즈 가이드 반영"
"215","콜드브루 소다","Cold Brew Soda","약함","0","0","라이트","무알코올","","하이볼","여름","콜드브루 커피 120ml (4 oz), 탄산수 적당량(약 90ml), 설탕 시럽 15ml (½ oz), 오렌지 필","","탄산, 커피·초콜릿","브런치, 상쾌한","4","1. 하이볼에 얼음을 채운다. / 2. 콜드브루 커피 120ml (4 oz), 설탕 시럽 15ml (½ oz)를 붓는다. / 3. 탄산수 적당량(약 90ml)로 채우고 바 스푼으로 가볍게 한 번 젓는다. / 4. 오렌지 필로 가니시한다.","AUTO","0","0","0","찬물로 오래 추출한 콜드브루 커피에 탄산을 더한 음료.
콜드브루는 네덜란드인을 통해 일본에 전해져 '교토식', '더치 커피'로 발전함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Cold_Brew_Soda.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","none","0","0","1","2","2","0","2","4","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","3","3","1","1","0","long","caffeine","verified","image_old","https://en.wikipedia.org/wiki/Cold_brew_coffee","","디포즈 미수록 (onz 오리지널)"
"216","콜로라도 불독","Colorado Bulldog","보통","14","16","스탠다드","보드카","","록스","사계절","보드카 45ml (1½ oz), 커피 리큐르 22.5ml (¾ oz), 휘핑크림 22.5ml (¾ oz), 콜라 30ml (1 oz)","","달콤, 묵직한, 커피·초콜릿, 크리미","디저트","4","1. 셰이커에 얼음과 보드카 45ml (1½ oz), 커피 리큐르 22.5ml (¾ oz), 휘핑크림 22.5ml (¾ oz), 콜라 30ml (1 oz)를 넣고 15초간 강하게 셰이킹한다. / 2. 큰 얼음을 넣은 록스 잔에 걸러 따른다. / 3. 남은 탄산 재료로 채운다. / 4. 마라스키노 체리로 가니시한다.","MANUAL","0","0","0","블랙 러시안에 크림과 콜라를 더한 변형으로 '더티 블랙 러시안'이라고도 부름.
블랙 러시안은 1949년 브뤼셀 메트로폴 호텔의 바텐더 귀스타브 톱스가 미국 대사 펄 메스타를 위해 만든 칵테일.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Colorado_Bulldog.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-09-22 12:00:00","2026-09-22 12:00:00","vodka|liqueur","15","2","5","0","0","2","4","2","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","3","1","0","0","0","5","2","2","0","rocks","dairy|caffeine","verified","image_old","https://en.wikipedia.org/wiki/Black_Russian","https://www.diffordsguide.com/cocktails/recipe/462/colorado-bulldog","디포즈 가이드 반영"
